4060,8863164,32.1,9.7,23677,27700,688936,11.6,8,184230,4
946,5105067,29.2,12.4,15153,21550,436936,11.1,7.2,110928,2
1729,2818199,31.3,7.1,7553,12449,253526,12.5,5.7,55003,3
4205,2498016,33.5,10.9,5905,6179,173821,8.1,6.1,48931,4
790,2410556,32.6,9.2,6062,6369,144524,5.2,4.8,58818,4
71,2300664,28.3,12.4,4861,8942,680966,19.5,9.5,38658,1
9204,2122101,29.2,12.5,4320,6104,177593,8.8,4.9,38287,4
614,2111687,27.4,12.5,3823,9490,193978,16.9,10,36872,2
1945,1937094,27.1,13.9,6274,8840,244725,14.2,8.7,34525,3
880,1852810,32.6,8.2,4718,6934,214258,10.4,6.1,38911,3
135,1585577,29.1,15.2,6641,10494,109148,16.1,8,26512,1
2126,1507319,30.1,11.1,5280,4009,124959,5,4.6,35843,4
1291,1497577,32.6,8.7,4101,3342,77009,5,5.5,37728,4
20062,1418380,30.1,8.8,2463,3349,83110,10.3,8,23260,4
458,1412140,26.3,15.6,5620,8132,73150,11,5.5,29776,2
824,1398468,31.7,12.5,5158,4152,35825,4.2,7.3,35398,1
730,1336449,26.2,17.4,5281,8436,50186,8.7,5.3,27639,1
911,1321864,27.9,10.8,3021,3904,66723,3.3,7,32071,1
287,1287348,25.7,14.2,6147,5200,43203,2.5,5.1,40782,1
738,1279182,30.8,10.6,3169,3284,107338,8.1,5.3,28331,4
1209,1255488,25.3,20.7,2456,5543,107386,7.1,7.4,28066,3
1247,1185394,29.5,9.9,3062,4086,133098,16.2,6.7,18383,3
7208,1170413,27.9,13.2,1385,2435,95494,8.4,10.7,20114,4
864,1170103,32.2,8.3,1677,3672,132495,8.2,6.6,22027,3
873,1083592,27.6,10.9,4020,3254,50964,4.4,7.3,29131,2
966,1041219,29.7,10.6,2464,2855,84305,9.8,6.3,19714,4
557,1032431,31.6,11.3,3706,5395,71753,6.4,4.3,24474,2
508,993529,26.1,13.1,1194,1056,42595,4,5.1,24062,2
1045,968532,27.3,15.2,2748,4632,55306,9.4,6.8,17729,1
540,961437,33.5,9.6,2675,4011,82680,9.1,4.2,18306,2
242,959275,29.3,13.6,2774,4141,73681,12.6,4.9,17680,2
433,874866,26.3,14.4,4577,3540,37118,4.7,5.4,29159,1
407,866228,28,13.3,3164,4683,57208,10.3,4.5,17827,2
1974,863518,23.3,24.4,1833,3164,76142,6.2,8.4,23141,3
736,851783,28.3,14.1,2851,2940,51926,6,6.9,21188,1
280,851659,22.4,26,1620,4458,62344,6.2,6.2,18404,3
600,836231,30.6,11,2025,2174,51032,5.4,2.3,17818,4
1051,834054,29.4,12.2,2012,3068,89895,9.5,6,14075,3
626,827645,26.7,13.3,2417,2494,44374,4.5,5.9,26768,1
755,826330,29.4,10.4,2489,4918,67032,14.7,5.4,15229,3
234,825380,25.4,15.3,3226,2279,28521,2.7,5.2,26602,1
396,818584,29.2,6.5,1694,135,30202,2.2,3.2,23738,3
606,804219,28.7,14.7,3161,2486,52903,6,7.3,17851,1
720,803732,26.5,10.9,1761,1781,51243,5.5,5.6,20514,4
396,797159,30.6,11.7,2936,4654,61004,9.3,5,15264,2
334,781666,29,8.7,2157,1842,29708,1.7,4.8,20927,2
126,778206,28.6,12.7,2811,4841,75595,11.3,7.9,19084,1
495,757027,28.6,10.2,4635,1507,34754,2.7,3.3,22772,3
7911,741459,29,10.5,969,2011,52786,7.5,5.8,13810,4
81,736014,30,13.7,5444,6203,87355,17.8,9.4,12706,3
